Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189384,236.6,1200.233064971619,-0.0037095954,2.364462301135063,2.364462301135063,1.0
20000,1.4195998,255.0,1202.3232117752582,0.10309964,3.112349315269573,3.112349315269573,1.0
30000,1.419761,322.1290322580645,1206.2088905454711,0.20379537,4.04446598599034,4.04446598599034,1.0
40000,1.4196502,240.8181818181818,1207.7609149790096,0.31558058,2.787293476137248,2.787293476137248,1.0
50000,1.4201959,207.84782608695653,1210.4959936909722,0.42962453,2.663687588080116,2.663687588080116,1.0
60000,1.4222575,265.09090909090907,1210.6012638761479,0.52179384,4.320740599842632,4.320740599842632,1.0
70000,1.4222742,436.7391304347826,1210.8537688861973,0.6496374,7.691919839900473,7.691919839900473,1.0
80000,1.4226911,247.825,1212.7654423494641,0.7170712,4.075841271877289,4.075841271877289,1.0
90000,1.4229252,227.2173913043478,1214.5030524065278,0.73365897,3.6874648449213607,3.6874648449213607,1.0
100000,1.4230602,426.40909090909093,1216.530212956657,0.9198932,8.763201703195987,8.763201703195987,1.0
110000,1.4254494,261.1842105263158,1217.5439651282434,0.7986357,3.1820260153004996,3.1820260153004996,1.0
120000,1.425557,321.6774193548387,1217.5439651282434,0.9404686,5.491280068312922,5.491280068312922,1.0
130000,1.4252514,213.5,1217.5439651282434,0.92357296,3.0926952405522266,3.0926952405522266,1.0
140000,1.4255632,263.86486486486484,1217.5439651282434,0.9101633,3.5136924144384025,3.5136924144384025,1.0
150000,1.4258363,266.8378378378378,1217.5439651282434,0.9019011,4.1682661240165295,4.1682661240165295,1.0
160000,1.42533,353.9310344827586,1217.5439651282434,1.002516,6.223786066318381,6.223786066318381,1.0
170000,1.4251297,308.8181818181818,1217.5439651282434,0.9885746,5.4659433762232466,5.4659433762232466,1.0
180000,1.4259939,399.11538461538464,1217.5439651282434,1.1156297,7.897936137822958,7.897936137822958,1.0
190000,1.4266208,260.2162162162162,1217.5439651282434,1.0141426,5.00159628971203,5.00159628971203,1.0
200000,1.4278395,358.2142857142857,1217.5439651282434,1.0623306,7.53255428905998,7.53255428905998,1.0
210000,1.4305167,238.4878048780488,1217.5439651282434,1.0197352,4.29494625039217,4.29494625039217,1.0
220000,1.4317144,264.0,1217.5439651282434,1.0834929,6.130003602968322,6.130003602968322,1.0
230000,1.4323285,357.82142857142856,1217.5439651282434,1.2164024,7.824676581791469,7.824676581791469,1.0
240000,1.4330518,319.5,1217.5439651282434,1.1854702,6.138661046512425,6.138661046512425,1.0
250000,1.4332768,285.61764705882354,1217.5439651282434,1.2616217,5.873299619730781,5.873299619730781,1.0
260000,1.4351583,276.8888888888889,1217.5439651282434,1.2130353,5.457816123962402,5.457816123962402,1.0
270000,1.4342896,210.74468085106383,1217.5439651282434,1.1615556,4.524920965762848,4.524920965762848,1.0
280000,1.4342023,233.74418604651163,1217.5439651282434,1.1351186,4.382040192914563,4.382040192914563,1.0
290000,1.4345882,319.53125,1217.5439651282434,1.178569,6.171971615403891,6.171971615403891,1.0
300000,1.4347626,340.7241379310345,1217.5439651282434,1.3241059,7.0778130642298995,7.0778130642298995,1.0
310000,1.4262035,265.6,1217.6903001720862,1.2790799,5.716562277078628,5.716562277078628,1.0
320000,1.4254994,312.2,1221.8185641753428,1.3157057,7.482266638676325,7.482266638676325,1.0
330000,1.4241215,251.025,1227.5026703925953,1.3839066,6.22838918864727,6.22838918864727,1.0
340000,1.424347,175.40350877192984,1233.3683533810506,1.2915586,3.810459052261553,3.810459052261553,1.0
350000,1.4249278,232.78048780487805,1242.332146167219,1.4148204,6.315969401743354,6.315969401743354,1.0
360000,1.4311678,250.13953488372093,1245.9128587272587,1.4104933,5.202180398758068,5.202180398758068,1.0
370000,1.4317074,211.69767441860466,1245.9428430255705,1.3822068,5.3107543255007545,5.3107543255007545,1.0
380000,1.4329159,160.8709677419355,1245.9428430255698,1.3118507,3.7176679363173823,3.7176679363173823,1.0
390000,1.4320349,200.64,1245.9428430255703,1.4197258,4.9594604110717775,4.9594604110717775,1.0
400000,1.4312798,144.06944444444446,1245.9428430255703,1.4798474,3.973339953356319,3.973339953356319,1.0
410000,1.4306535,91.63725490196079,1245.94284302557,1.1846894,2.209754493306665,2.209754493306665,1.0
420000,1.4303741,100.87755102040816,1245.9428430255703,1.2342893,2.4376463093319716,2.4376463093319716,1.0
430000,1.4295002,138.96,1245.94284302557,1.239291,3.2293616112073265,3.2293616112073265,1.0
440000,1.4297048,100.90322580645162,1245.9428430255698,1.2012032,2.8611856679967107,2.8611856679967107,1.0
450000,1.4303364,116.0,1245.94284302557,1.0594808,2.6029152337242576,2.6029152337242576,1.0
460000,1.430339,132.88,1245.94284302557,1.1346592,3.325054798920949,3.325054798920949,1.0
470000,1.4300568,91.95327102803738,1245.9428430255705,1.0031595,2.2505036159246057,2.2505036159246057,1.0
480000,1.4298687,81.3305785123967,1245.9428430255703,1.184436,2.348216221352254,2.348216221352254,1.0
490000,1.4294065,95.14285714285714,1245.9428430255703,1.0818137,2.3917807295208884,2.3917807295208884,1.0
500000,1.4292942,81.25,1245.94284302557,0.9694121,2.1805932492017748,2.1805932492017748,1.0
510000,1.4293844,83.92561983471074,1266.6147744724144,1.5260062,3.066949081622948,3.066949081622948,1.0
520000,1.4294115,81.77966101694915,1311.2719937538766,1.6181878,3.160330486691688,3.160330486691688,1.0
530000,1.4288923,81.792,1345.1461668449451,1.6324964,3.1950412663546475,3.1950412663546475,1.0
540000,1.4283315,81.82905982905983,1371.1422115514042,1.6409755,3.204999945561091,3.204999945561091,1.0
550000,1.4269955,81.792,1392.1737028730631,1.6436453,3.230578467865621,3.230578467865621,1.0
560000,1.4235314,81.77777777777777,1404.0283526039823,1.6486177,3.2198346764588157,3.2198346764588157,1.0
570000,1.4216506,81.84,1404.2119630012357,1.6444123,3.261983449794044,3.261983449794044,1.0
580000,1.4197792,81.77118644067797,1404.2119630012357,1.6426656,3.255371917377819,3.255371917377819,1.0
590000,1.4181738,81.792,1404.2119630012357,1.6390035,3.280000013113022,3.280000013113022,1.0
600000,1.4175302,81.83760683760684,1404.211963001236,1.6354289,3.282644683664495,3.282644683664495,1.0
610000,1.4209269,120.525,1405.5975896665745,1.4955722,3.702775012745577,3.702775012745577,1.0
620000,1.4211775,93.90291262135922,1415.6095274433853,1.4653478,3.453846256320293,3.453846256320293,1.0
630000,1.4208685,88.94594594594595,1434.5835224309355,1.646239,3.508108237842182,3.508108237842182,1.0
640000,1.4209628,89.38738738738739,1456.252860408173,1.6465334,3.513513640240506,3.513513640240506,1.0
650000,1.4206249,80.79508196721312,1475.4629535333959,1.638499,3.2950820981479083,3.2950820981479083,1.0
660000,1.4185294,80.79508196721312,1495.1763614625463,1.6389844,3.296721440846803,3.296721440846803,1.0
670000,1.417645,80.78861788617886,1516.6754189327082,1.6386267,3.3056912015124067,3.3056912015124067,1.0
680000,1.4162594,80.81818181818181,1534.5771898291598,1.6397569,3.3065575126741753,3.3065575126741753,1.0
690000,1.4153374,89.04504504504504,1545.2001320962097,1.5716074,3.322522650967847,3.322522650967847,1.0
700000,1.4152747,82.13333333333334,1547.4105202677285,1.5765793,3.1983334600925444,3.1983334600925444,1.0
